GAME,EPISODE,REWARD_AVG,ACTION_VAL_AVG
Breakout-v5,1180,-3.95,1.1596795326098799
Breakout-v5,1200,-3.15,1.1312761110457359
Breakout-v5,1220,-3.3,1.1005829830479343
Breakout-v5,1240,-3.35,1.11125048786751
Breakout-v5,1260,-3.3,1.1493263902887703
Breakout-v5,1280,-3.1,1.1457139738299884
Breakout-v5,1300,-2.9,1.128451646968024
Breakout-v5,1320,-3.35,1.1332344377448316
Breakout-v5,1340,-3.25,1.1273769870901014
Breakout-v5,1360,-2.95,1.1736692256468815
Breakout-v5,1380,-3.0,1.195281955108512
Breakout-v5,1400,-3.05,1.2044007484044414
Breakout-v5,1420,-3.5,1.151566945288796
Breakout-v5,1440,-3.45,1.1394728197692894
Breakout-v5,1460,-2.95,1.1331133614678401
Breakout-v5,1480,-3.15,1.1800958383316174
Breakout-v5,1500,-2.75,1.1540706099173985
Breakout-v5,1520,-3.2,1.1186949536891189
Breakout-v5,1540,-2.8,1.0338767451501918
Breakout-v5,1560,-3.0,1.0681306009844411
Breakout-v5,1580,-3.0,1.042157650870504
Breakout-v5,1600,-3.0,1.0527871099836192
Breakout-v5,1620,-3.2,1.107012351891026
Breakout-v5,1640,-2.8,1.1077909051894677
Breakout-v5,1660,-3.25,1.179159882852109
Breakout-v5,1680,-3.4,1.1860286434355658
Breakout-v5,1700,-3.65,1.2876561530760955
Breakout-v5,1720,-3.25,1.3127910568215884
Breakout-v5,1740,-3.65,1.3474002956366167
Breakout-v5,1760,-2.95,1.3311436881462577
Breakout-v5,1780,-3.2,1.3218731499183922
Breakout-v5,1800,-3.35,1.3316191579366567
Breakout-v5,1820,-3.95,1.3092816819401925
Breakout-v5,1840,-3.3,1.297086171603296
Breakout-v5,1860,-3.2,1.2903293052839582
Breakout-v5,1880,-2.55,1.2585654031077866
Breakout-v5,1900,-3.2,1.1807427440013272
Breakout-v5,1920,-3.2,1.178589255611878
Breakout-v5,1940,-3.6,1.1591734886053018
Breakout-v5,1960,-2.25,1.1476264366856777
Breakout-v5,1980,-2.1,1.077594068106264
Breakout-v5,2000,-2.35,1.0272986918967217
Breakout-v5,2020,-2.9,0.9631904875882902
Breakout-v5,2040,-2.6,0.955145511876326
Breakout-v5,2060,-3.15,0.9794169207243248
Breakout-v5,2080,-2.2,0.9776151749945712
Breakout-v5,2100,-2.7,1.0666661525389645
Breakout-v5,2120,-2.0,1.0586603931128047
Breakout-v5,2140,-1.9,1.0449933057127054
Breakout-v5,2160,-2.65,1.0489088963542599
Breakout-v5,2180,-2.85,1.062003055877285
Breakout-v5,2200,-2.6,1.1071105416759384
Breakout-v5,2220,-2.9,1.1399785996612628
Breakout-v5,2240,-3.0,1.1283863201551139
Breakout-v5,2260,-2.8,1.1043681582342832
Breakout-v5,2280,-3.3,1.1105676771386062
Breakout-v5,2300,-3.2,1.1239690177969168
Breakout-v5,2320,-2.45,1.1238117963669356
Breakout-v5,2340,-2.55,1.1283969923178665
Breakout-v5,2360,-2.6,1.1157700366689824
Breakout-v5,2380,-2.9,1.1114476644434035
Breakout-v5,2400,-3.1,1.0637862993113232
Breakout-v5,2420,-2.5,1.003011154163396
Breakout-v5,2440,-2.3,0.993825593185611
Breakout-v5,2460,-2.2,0.9436242050270084
Breakout-v5,2480,-2.55,0.9596707473613787
Breakout-v5,2500,-3.05,0.9331905293453019
Breakout-v5,2520,-2.35,0.9437191636103671
Breakout-v5,2540,-2.15,0.9130184724414722
Breakout-v5,2560,-2.35,0.8733284055581316
Breakout-v5,2580,-1.95,0.8335307927848771
Breakout-v5,2600,-2.35,0.8039911067404318
Breakout-v5,2620,-2.05,0.7856469581963029
Breakout-v5,2640,-1.5,0.8157013189885766
Breakout-v5,2660,-2.35,0.8286165201710537
Breakout-v5,2680,-2.3,0.8255219069193117
Breakout-v5,2700,-1.7,0.8229695042024833
Breakout-v5,2720,-1.85,0.9057436400710139
Breakout-v5,2740,-2.05,0.9249180677800904
Breakout-v5,2760,-2.05,0.8462582458427641
Breakout-v5,2780,-1.6,0.824809210941894
Breakout-v5,2800,-2.5,0.8363708091573789
Breakout-v5,2820,-2.1,0.932221540112514
Breakout-v5,2840,-2.55,0.9238954393763561
Breakout-v5,2860,-2.2,0.8854184676625301
Breakout-v5,2880,-1.8,0.8464422541472595
Breakout-v5,2900,-2.15,0.8709949557401706
Breakout-v5,2920,-2.05,0.9183024219376966
Breakout-v5,2940,-2.9,0.8839956288947723
Breakout-v5,2960,-2.2,0.9112246790179052
Breakout-v5,2980,-2.95,0.928727891035378
Breakout-v5,3000,-2.35,0.9357097660773434
Seaquest-v5,20,-2.15,1.4565138069834211
Seaquest-v5,40,-2.15,1.4445769340079277
Seaquest-v5,60,-2.3,1.6108904694626107
Seaquest-v5,80,-1.9,1.4811990405688993
Seaquest-v5,100,-2.35,1.8351081805769354
Seaquest-v5,120,-2.05,2.382298194712639
Seaquest-v5,140,-1.55,2.4832582781650125
Seaquest-v5,160,-2.5,2.5077187688276172
Seaquest-v5,180,-2.35,2.545135358246043
Seaquest-v5,200,-2.45,2.6909307199157775
Seaquest-v5,220,-2.15,3.1318087261216716
Seaquest-v5,240,-2.85,3.149264399097301
Seaquest-v5,260,-2.65,3.290708029610105
Seaquest-v5,280,-2.65,3.5009061467368157
Seaquest-v5,300,-1.65,3.444569579064846
Seaquest-v5,320,-0.95,3.6451575080346084
Seaquest-v5,340,-2.2,3.9327789371600375
Seaquest-v5,360,-1.55,4.160327551532537
Seaquest-v5,380,-1.25,4.408704523462802
Seaquest-v5,400,-2.2,4.050923427771777
Seaquest-v5,420,-1.45,4.2825863529369235
Seaquest-v5,440,-1.6,4.498034238610416
Seaquest-v5,460,-1.75,4.788648099284619
Seaquest-v5,480,-2.0,4.859159241374582
Seaquest-v5,500,-1.45,5.136548081077636
Seaquest-v5,520,-1.4,5.375435181446374
Seaquest-v5,540,-1.15,5.3356632948853076
Seaquest-v5,560,-2.05,5.444031834714115
Seaquest-v5,580,-1.75,5.2182614146545525
Seaquest-v5,600,-2.05,5.245254724770785
Seaquest-v5,620,-1.05,5.702415659651161
Seaquest-v5,640,-0.75,5.6337935400754215
Seaquest-v5,660,-1.75,5.974915557205677
Seaquest-v5,680,-0.95,6.065595056079328
